Артикул;Название;Ссылка;"Краткое описание";"Полное описание";Цена;"Оптовая цена";"Склад 1";"Суммарно на складах";Категория;Изображения
K1507;"Крепление на оружие для фонаря (Байонет 18 мм)";http://avantmarket.com/kreplenie-na-oruzhie-dlya-fonarya-bayonet-18-mm;;"Размер (Ш х В х Т): 48мм Х 46мм Х 16ммДиаметр кольца: 30ммТип планки: Байонет 18ммМатериал: алюминиевый сплавКомплектация: 2 крепления, ключ-шестигранник";0,00;0,00;0;0;"Аксессуары к фонарям";"http://avantmarket.com/wa-data/public/shop/products/49/19/1949/images/6853/6853.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/49/19/1949/images/6854/6854.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/49/19/1949/images/6819/6819.750x0.jpg"
K45;"Крепление на оружие для фонаря 30 DK (планка Вивера 19 мм)";http://avantmarket.com/kreplenie-na-oruzhie-dlya-fonarya-30-dk-planka-vivera-19-mm;;"Размер (Ш х В х Т): 51мм Х 36мм Х 16ммДиаметр кольца: 30ммТип планки: Вивер 19ммМатериал: алюминиевый сплавКомплектация: 2 крепления, ключ-шестигранник";0,00;0,00;0;0;"Аксессуары к фонарям";"http://avantmarket.com/wa-data/public/shop/products/47/19/1947/images/6836/6836.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/47/19/1947/images/6835/6835.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/47/19/1947/images/6834/6834.750x0.jpg"
K308;"Крепление на оружие для фонаря (Байонет 9 мм)";http://avantmarket.com/kreplenie-na-oruzhie-dlya-fonarya-bayonet-9-mm;;"Размер (Ш х В х Т): 43мм Х 47мм Х 21ммДиаметр кольца: 30ммТип планки: байонет 9ммМатериал: алюминиевый сплавКомплектация: 2 крепления, ключ-шестигранник";0,00;0,00;0;0;"Аксессуары к фонарям";"http://avantmarket.com/wa-data/public/shop/products/48/19/1948/images/6840/6840.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/48/19/1948/images/6839/6839.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/48/19/1948/images/6818/6818.750x0.jpg"
KUPlastic;"Крепление для фонаря на гладкоствольное оружие (High Quality Plastic 25-31 мм)";http://avantmarket.com/kreplenie-dlya-fonarya-na-gladkostvolnoe-oruzhie-high-quality-plastic-25-31-mm;;"Размер (Ш х В х Т): 40мм Х 61мм Х 33ммДиаметр кольца: 28ммТип планки: Вивер 21ммМатериал: высококачественный пластикКомплектация: крепление, ключ-шестигранник";0,00;0,00;0;0;"Аксессуары к фонарям";"http://avantmarket.com/wa-data/public/shop/products/44/19/1944/images/6862/6862.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/44/19/1944/images/6861/6861.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/44/19/1944/images/6815/6815.750x0.jpg"
K1515;"Крепление на оружие для фонаря  (Байонет 16 мм)";http://avantmarket.com/kreplenie-na-oruzhie-dlya-fonarya-bayonet-16-mm;;"Размер (Ш х В х Т): 42мм Х 41мм Х 16ммДиаметр кольца: 25ммТип планки: байонет 16ммМатериал: алюминиевый сплавКомплектация: 2 крепления, ключ-шестигранник";0,00;0,00;0;0;"Аксессуары к фонарям";"http://avantmarket.com/wa-data/public/shop/products/62/19/1962/images/6828/6828.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/62/19/1962/images/6858/6858.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/62/19/1962/images/6857/6857.750x0.jpg"
K2871;"Крепление для фонаря на гладкоствольное оружие (25-31 мм)";http://avantmarket.com/kreplenie-dlya-fonarya-na-gladkostvolnoe-oruzhie-aluminum-25-31-mm;;"Размер (Ш х В х Т): 51мм Х 40мм Х 110ммДиаметр кольца: 25-30ммТип планки: ствол оружияМатериал: высококачественный пластикКомплектация: крепление";0,00;0,00;0;0;"Аксессуары к фонарям";"http://avantmarket.com/wa-data/public/shop/products/61/19/1961/images/6874/6874.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/61/19/1961/images/6872/6872.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/61/19/1961/images/6873/6873.750x0.jpg"
K2219;"Крепление на оружие для фонаря M 048 (планка Вивера 10 мм)";http://avantmarket.com/kreplenie-na-oruzhie-dlya-fonarya-m-048-planka-vivera-10-mm;;"Размер (Ш х В х Т): 	43мм Х 30мм Х 40мм
Диаметр кольца: 	30мм
Тип планки:	 Вивера 10мм
Материал:	 нержавеющая сталь
Комплектация: 	крепление, ключ-шестигранник";0,00;0,00;0;0;"Аксессуары к фонарям";"http://avantmarket.com/wa-data/public/shop/products/60/19/1960/images/6865/6865.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/60/19/1960/images/6864/6864.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/60/19/1960/images/6863/6863.750x0.jpg"
K118;"Крепление на оружие для фонаря 25GK-V2 (планка Вивера 19 мм)";http://avantmarket.com/kreplenie-na-oruzhie-dlya-fonarya-25gk-v2-planka-vivera-19-mm;;"Размер (Ш х В х Т): 41мм Х 51мм Х 16ммДиаметр кольца: 25ммТип планки: Вивера 19ммМатериал: алюминиевый сплавКомплектация: 2 крепления, ключ-шестигранник";0,00;0,00;0;0;"Аксессуары к фонарям";"http://avantmarket.com/wa-data/public/shop/products/59/19/1959/images/6838/6838.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/59/19/1959/images/6827/6827.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/59/19/1959/images/6837/6837.750x0.jpg"
K1190;"Крепление на оружие для фонаря 25GK (планка Вивера 19 мм)";http://avantmarket.com/kreplenie-na-oruzhie-dlya-fonarya-25gk-planka-vivera-19-mm;;"Размер (Ш х В х Т): 46мм Х 51мм Х 16ммДиаметр кольца: 25ммТип планки: Вивера 19ммМатериал: алюминиевый сплавКомплектация: 2 крепления, ключ-шестигранник";0,00;0,00;0;0;"Аксессуары к фонарям";"http://avantmarket.com/wa-data/public/shop/products/58/19/1958/images/6852/6852.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/58/19/1958/images/6851/6851.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/58/19/1958/images/6826/6826.750x0.jpg"
K1514;"Крепление на оружие для фонаря 2x30mm Ring Telescopic Sights (планка Вивера 9 мм)";http://avantmarket.com/kreplenie-na-oruzhie-dlya-fonarya-2x30mm-ring-telescopic-sights-planka-vivera-9-mm;;"Размер (Ш х В х Т): 46мм Х 48мм Х 23ммДиаметр кольца: 25ммТип планки: Вивера 10ммМатериал: металлический сплавКомплектация: крепление, ключ-шестигранник";0,00;0,00;0;0;"Аксессуары к фонарям";"http://avantmarket.com/wa-data/public/shop/products/57/19/1957/images/6856/6856.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/57/19/1957/images/6855/6855.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/57/19/1957/images/6825/6825.750x0.jpg"
LUK9090L-XL;"Балаклава LUK, черный L-XL";http://avantmarket.com/balaklava-luk-chernyy-l-xl;"Термомаска из шерсти Merino wool 160g Light";"Термомаска из шерсти Merino wool 160 гр/м2 Light - тонкий однослойный материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности. Рекомендовано для использования как летом в качестве единственного слоя одежды, так и в переходной период – как нижние белье.
Применение: треккинг, зимние виды спорта, велоспорт.";795,00;517,00;1;1;Балаклавы;http://avantmarket.com/wa-data/public/shop/products/71/19/1971/images/6944/6944.750x0.jpg
LUK9090S-M;"Балаклава LUK, черный S-M";http://avantmarket.com/balaklava-luk-chernyy-m;"Термомаска из шерсти Merino wool 160g Light";"Термомаска из шерсти Merino wool 160 гр/м2 Light - тонкий однослойный материал, который обеспечивает быстрое испарение пота и идеальную сухость Вашей кожи во время занятий спортом или другой подвижной деятельности. Рекомендовано для использования как летом в качестве единственного слоя одежды, так и в переходной период – как нижние белье.
Применение: треккинг, зимние виды спорта, велоспорт.";795,00;517,00;1;1;Балаклавы;http://avantmarket.com/wa-data/public/shop/products/85/19/1985/images/6959/6959.750x0.jpg
DS8826L;"Водонепроницаемые носки DexShell Thermlite L";http://avantmarket.com/vodonepronicaemye-noski;"Данная модель подходит для активного отдыха зимой, в дождь и снег.Черные носки с манжетом оливкового цвета.Средняя прослойка является водонепроницаемой и воздухопропускаемой мембраной. Надежные свойства и великолепное качество обеспечивают носкам 100% степень вентиляции и водонепроницаемости.Плотно прилегают к ногам.";"Описание:
Непроницаемые носки DexShell Thermlite - это недорогое и эффективное решение проблемы промокшей обуви ног для рыбаков, охотников, туристов и любителей активного отдыха. Водонепроницаемые носки заменят вам пару сменной обуви, если ваши ботинки или сапоги насквозь промокнут в походе.
 
Из чего состоят водонепроницаемые носки DexShell?
Носки DexShell Coolvent Lite состоят из трех слоев:

    
—Главный функциональный слой — мембрана Porelle®, которая производится в Англии. Именно она делает носки DexShell водонепроницаемыми, и главное — отвечает за эффективное потоотведение. Работает эластичная и прочная мембрана Porelle® благодаря разнице температур внутри и снаружи носка, именно поэтому не рекомендуется одевать носки DexShell Thermlite поверх обычных.
  —Внутренний слой состоит из шерсти мериноса. Шерсть этой породы новозеландских овец считается самой мягкой и помогает поддерживать постоянную температуру внутри.
  —Внешний нейлоновый слой делает носки DexShell Thermlite устойчивыми к повреждениям, плотными и комфортно прилегающими к ноге. Удобный манжет предотвращает скатывние носка при длительной ходьбе ли во время бега.
     
Характеристики:
Внешний слой: 97% износостойкий нейлон, 3% эластан
Мембранная вставка: эластичная, водонепроницаемая и дышащая мембрана Porelle ®
Внутренний слой: 40% шерсть мериноса, 40% акрил, 20% нейлон
Сезон: зима
 
Непромокаемые носки DexShell Thermlite плотно прилегают, не сдавливая стопу. Плоский шов – гарантия того, что носок не будет натирать ногу при ходьбе. Это очень важно во время походов и активного отдыха: охоты, рыбалки, езды на мотоцикле и велосипеде, и занятий спортом.
   
Размерная таблица:

 
Наши рекомендации по уходу за носками:

 
Как стирать носки DexShell Thermlite:
Стирать носки необходимо вручную в прохладной воде (не более 40°C).
Как сушить носки DexShell Thermlite:
Сначала необходимо высушить носки вывернутыми наизнанку, а затем - с лицевой стороны в вертикальном положении на открытом воздухе. Чтобы носки не расслоились - запрещается сушить их утюгом, на батареях или возле костра.
 
C водонепроницаемыми носками DexShell Ваши ноги всегда будут сухими в любой обуви в самых неблагоприятных условиях!
  

  
    
  

   
  
 
";1170,00;820,00;11;11;"Водонепроницаемые носки DexShell";"http://avantmarket.com/wa-data/public/shop/products/75/11/1175/images/4469/4469.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/75/11/1175/images/4470/4470.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/75/11/1175/images/4503/4503.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/75/11/1175/images/4538/4538.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/75/11/1175/images/6766/6766.750x0.jpg"
DS8836L;"Водонепроницаемые носки DexShell Trekking L";http://avantmarket.com/vodonepronicaemye-noski-ds8836;"Эти носки подходят для пешего туризма в холодную погоду или другие экстремальные зимние условия. В этой модели 96% анти абразивного нейлона, 4% эластана. Плотно прилегают к ногам, не дают влаге попасть вовнутрь, высокая производительность теплозащиты.Высокие носки черно-зеленого цвета.Высокая степень непроницаемости и воздухопропускаемости мембраны.";"Описание:
Непроницаемые носки DexShell - это недорогое и эффективное решение проблемы промокшей обуви ног для рыбаков, охотников, туристов и любителей активного отдыха. Водонепроницаемые носки заменят вам пару сменной обуви, если ваши ботинки или сапоги насквозь промокнут в походе.
 
Из чего состоят водонепроницаемые носки DexShell?
Носки DexShell Trekking состоят из трех слоев:

    
—Главный функциональный слой — мембрана Porelle®, которая производится в Англии. Именно она делает носки DexShell водонепроницаемыми, и главное — отвечает за эффективное потоотведение. Работает эластичная и прочная мембрана Porelle ® благодаря разнице температур внутри и снаружи носка, именно поэтому не рекомендуется одевать носки DexShell поверх обычных.
  —Внутренний слой состоит из шерсти мериноса. Шерсть этой породы новозеландских овец считается самой мягкой и помогает поддерживать постоянную температуру внутри.
  —Внешний нейлоновый слой делает носки DexShell Trekking устойчивыми к повреждениям, плотными и комфортно прилегающими к ноге. Особенность модели DexShell Trekking - усиленная пятка и носок для дополнительной надежности и долговечности.
     
Непромокаемые носки DexShell Trekking плотно прилегают, не сдавливая стопу. Плоский шов – гарантия того, что носок не будет натирать ногу при ходьбе. Это очень важно во время походов и активного отдыха: охоты, рыбалки, езды на мотоцикле и велосипеде, и занятий спортом.
     
Характеристики:
Внешний слой: 96% износостойкий нейлон, 4% эластан
Мембранная вставка: эластичная, водонепроницаемая и дышащая мембрана Porelle ®
Внутренний слой: 40% шерсть мериноса, 40% акрил, 20% полиэстр
Сезон: зима

Непромокаемые носки DexShell Trekking плотно прилегают, не сдавливая стопу. Плоский шов – гарантия того, что носок не будет натирать ногу при ходьбе. Это очень важно во время походов и активного отдыха: охоты, рыбалки, езды на мотоцикле и велосипеде, и занятий спортом.

Размерная таблица:

 
Наши рекомендации по уходу за носками:

 
Как стирать носки DexShell Trekking:
Стирать носки необходимо вручную в прохладной воде (не более 40°C).
Как сушить носки DexShell Trekking:
Сначала необходимо высушить носки вывернутыми наизнанку, а затем - с лицевой стороны в вертикальном положении на открытом воздухе. Чтобы носки не расслоились - запрещается сушить их утюгом, на батареях или возле костра.
 
C водонепроницаемыми носками DexShell Ваши ноги всегда будут сухими в любой обуви в самых неблагоприятных условиях!
  

 

 

 
";1260,00;890,00;11;11;"Водонепроницаемые носки DexShell";"http://avantmarket.com/wa-data/public/shop/products/77/11/1177/images/4471/4471.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/77/11/1177/images/4472/4472.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/77/11/1177/images/4504/4504.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/77/11/1177/images/6773/6773.750x0.jpg"
DS8830L;"Водонепроницаемые гетры DexShell Overcalf L";http://avantmarket.com/vodonepronicaemye-noski-dexshell-overcalf;"Новинка! Эти водонепроницаемые гетры подходят для активных мероприятий в холодную и влажную погоду, рыбалки и охоты. Они выдержат любые зимние экстремальные условия. В этой модели 98% анти-абразивного нейлона, 2% эластана. Плотно прилегают к ногам, не дают влаге попасть вовнутрь, высокая производительность теплозащиты.Гетры черно-синего цвета.Высокая степень непроницаемости и воздухопропускаемости мембраны.";"Описание:
Непроницаемые гетры DexShell Overcalf - это недорогое и эффективное решение проблемы промокшей обуви ног для рыбаков, охотников, туристов и любителей активного отдыха. Они станут отличной заменой сухой сменной обуви, если ваши ботинки или сапоги насквозь промокнут в походе. Также гетры подойдут футболистам, которые тренируются зимой на заснеженных площадках.
 
Из чего состоят водонепроницаемые носки DexShell?
Носки DexShell Overcalf состоят из трех слоев:

    
—Главный функциональный слой — мембрана Porelle®, которая производится в Англии. Именно она делает носки DexShell водонепроницаемыми, и главное — отвечает за эффективное потоотведение. Работает эластичная и прочная мембрана Porelle ® благодаря разнице температур внутри и снаружи носка, именно поэтому не рекомендуется одевать гетры DexShell Overcalf поверх обычных.
  —Внутренний слой состоит из шерсти мериноса. Шерсть этой породы новозеландских овец считается самой мягкой и помогает поддерживать постоянную температуру внутри.
  —Внешний нейлоновый слой делает гетры DexShell устойчивыми к повреждениям, плотными и комфортно прилегающими к ноге. Особенность модели DexShell Overcalf – высота до колена - обеспечивает дополнительную защиту по сравнению с носками.
     
Характеристики:
Внешний слой: 97% износостойкий нейлон, 3% эластан
Мембранная вставка: эластичная, водонепроницаемая и дышащая мембрана Porelle ®
Внутренний слой: 40% шерсть мериноса, 40% акрил, 20% нейлон
Сезон: зима

Непромокаемые гетры DexShell Overcalf плотно прилегают, не сдавливая стопу. Плоский шов – гарантия того, что носок не будет натирать ногу при ходьбе. Это очень важно во время походов и активного отдыха: охоты, рыбалки, езды на мотоцикле и велосипеде, и занятий спортом.

Размерная таблица:

 
Наши рекомендации по уходу за носками:

 
Как стирать гетры DexShell Overcalf:
Стирать носки необходимо вручную в прохладной воде (не более 40°C).
Как сушить гетры DexShell Overcalf:
Сначала необходимо высушить носки вывернутыми наизнанку, а затем - с лицевой стороны в вертикальном положении на открытом воздухе. Чтобы носки не расслоились - запрещается сушить их утюгом, на батареях или возле костра.
 
C водонепроницаемыми гетрами DexShell Ваши ноги всегда будут сухими в любой обуви в самых неблагоприятных условиях!
  






 
";1800,00;1260,00;1;1;"Водонепроницаемые носки DexShell";"http://avantmarket.com/wa-data/public/shop/products/92/11/1192/images/4583/4583.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/92/11/1192/images/4584/4584.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/92/11/1192/images/6202/6202.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/92/11/1192/images/6760/6760.750x0.jpg"
DS8838L;"Водонепроницаемые носки DexShell Coolvent Lite L";http://avantmarket.com/vodonepronicaemye-noski-dexshell-coolvent-lite;"Данная модель подходит для езды на велосипеде, бега, или другого вида спорта в теплое время года.Носки серого цвета.Плотно прилегают к ногам.Высокая степень непроницаемости и воздухопропускаемости мембраны.";"Описание:
Непроницаемые носки DexShell Coolvent Lite - это недорогое и эффективное решение проблемы промокшей обуви ног для рыбаков, охотников, туристов и любителей активного отдыха в теплое время года. Если ваши ботинки или сапоги насквозь промокнут, они станут отличной заменой сухой сменной обуви.
 
Из чего состоят водонепроницаемые носки DexShell?
Носки DexShell Coolvent Lite состоят из трех слоев:

    
—Главный функциональный слой — мембрана Porelle®, которая производится в Англии. Именно она делает носки DexShell водонепроницаемыми, и главное — отвечает за эффективное потоотведение. Работает эластичная и прочная мембрана Porelle® благодаря разнице температур внутри и снаружи носка, именно поэтому не рекомендуется одевать носки DexShell Coolvent Lite поверх обычных.
  —Внутренний слой состоит из влагоотводящего волокна Coolmax®, которое производится американской компанией DuPont на основе полиэстра. Coolmax ® обладает антибактериальными свойствами, а особая структура волокна позволяет быстро отводить влагу с поверхности тела - что особенно важно при интенсивных физических нагрузках.
  —Внешний нейлоновый слой делает носки DexShell устойчивыми к повреждениям, плотными и комфортно прилегающими к ноге.
     
Характеристики:
Внешний слой: 97% износостойкий нейлон, 3% эластан
Мембранная вставка: эластичная, водонепроницаемая и дышащая мембрана Porelle ®
Внутренний слой: 80% влагоотводящее волокно Coolmax®, 20% нейлон
Сезон: лето
 
Непромокаемые носки DexShell Coolvent Lite плотно прилегают, не сдавливая стопу. Плоский шов – гарантия того, что носок не будет натирать ногу при ходьбе. Это очень важно во время походов и активного отдыха: охоты, рыбалки, езды на мотоцикле и велосипеде, и занятий спортом.
   
Размерная таблица:

 
Наши рекомендации по уходу за носками:

 
Как стирать носки DexShell Coolvent Lite:
Стирать носки необходимо вручную в прохладной воде (не более 40°C).
Как сушить носки DexShell Coolvent Lite:
Сначала необходимо высушить носки вывернутыми наизнанку, а затем - с лицевой стороны в вертикальном положении на открытом воздухе. Чтобы носки не расслоились - запрещается сушить их утюгом, на батареях или возле костра.
 
C водонепроницаемыми носками DexShell Ваши ноги всегда будут сухими в любой обуви в самых неблагоприятных условиях!
  




 

 
";960,00;690,00;11;11;"Водонепроницаемые носки DexShell";"http://avantmarket.com/wa-data/public/shop/products/43/14/1443/images/5124/5124.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/43/14/1443/images/5125/5125.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/43/14/1443/images/5194/5194.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/43/14/1443/images/5195/5195.750x0.jpg"
DS8830WM;"Водонепроницаемые гетры DexShell Overcalf Wading M";http://avantmarket.com/vodonepronitsaemye-getry-dexshell-overcalf-wading-m;"Новинка! Эти водонепроницаемые гетры подходят для активных мероприятий в холодную и влажную погоду, рыбалки и охоты. Они выдержат любые зимние экстремальные условия. В этой модели 98% анти-абразивного нейлона, 2% эластана. Плотно прилегают к ногам, не дают влаге попасть вовнутрь, высокая производительность теплозащиты.Гетры черно-синего цвета.Высокая степень непроницаемости и воздухопропускаемости мембраны.";"Описание:
Непроницаемые гетры DexShell Overcalf Wading - это недорогое и эффективное решение проблемы промокшей обуви ног для рыбаков, охотников, туристов и любителей активного отдыха. Отличительной чертой от DexShell Overcalf Wading является усиленная резинка (манжет), которая обеспечивает дополнительную защиту. Они станут отличной заменой сухой сменной обуви, если ваши ботинки или сапоги насквозь промокнут в походе. Также гетры подойдут футболистам, которые тренируются зимой на заснеженных площадках.
 
Из чего состоят водонепроницаемые носки DexShell?
Носки DexShell Overcalf Wading состоят из трех слоев:

    
—Главный функциональный слой — мембрана Porelle®, которая производится в Англии. Именно она делает носки DexShell водонепроницаемыми, и главное — отвечает за эффективное потоотведение. Работает эластичная и прочная мембрана Porelle ® благодаря разнице температур внутри и снаружи носка, именно поэтому не рекомендуется одевать гетры DexShell Overcalf Wading поверх обычных.
  —Внутренний слой состоит из шерсти мериноса. Шерсть этой породы новозеландских овец считается самой мягкой и помогает поддерживать постоянную температуру внутри.
  —Внешний нейлоновый слой делает гетры DexShell устойчивыми к повреждениям, плотными и комфортно прилегающими к ноге. Особенность модели DexShell Overcalf Wading усиленная резинка (манжет) - обеспечивает дополнительную защиту по сравнению с DexShell Overcalf.
     
Характеристики:
Внешний слой: 97% износостойкий нейлон, 2% эластан, 1% эластик (резинка)
Мембранная вставка: эластичная, водонепроницаемая и дышащая мембрана Porelle ®
Внутренний слой: 40% шерсть мериноса, 40% акрил, 20% нейлон
Сезон: зима
Непромокаемые гетры DexShell Overcalf Wading плотно прилегают, не сдавливая стопу. Плоский шов – гарантия того, что носок не будет натирать ногу при ходьбе. Это очень важно во время походов и активного отдыха: охоты, рыбалки, езды на мотоцикле и велосипеде, и занятий спортом.

Размерная таблица:

 
Наши рекомендации по уходу за носками:

 
Как стирать гетры DexShell Overcalf Wading:
Стирать носки необходимо вручную в прохладной воде (не более 40°C).
Как сушить гетры DexShell Overcalf Wading:
Сначала необходимо высушить носки вывернутыми наизнанку, а затем - с лицевой стороны в вертикальном положении на открытом воздухе. Чтобы носки не расслоились - запрещается сушить их утюгом, на батареях или возле костра.
 
C водонепроницаемыми гетрами DexShell Ваши ноги всегда будут сухими в любой обуви в самых неблагоприятных условиях!
 
";1800,00;1260,00;11;11;"Водонепроницаемые носки DexShell";http://avantmarket.com/wa-data/public/shop/products/92/20/2092/images/7136/7136.750x0.jpg
DS8830WL;"Водонепроницаемые гетры DexShell Overcalf Wading L";http://avantmarket.com/vodonepronitsaemye-getry-dexshell-overcalf-wading-l;"Новинка! Эти водонепроницаемые гетры подходят для активных мероприятий в холодную и влажную погоду, рыбалки и охоты. Они выдержат любые зимние экстремальные условия. В этой модели 98% анти-абразивного нейлона, 2% эластана. Плотно прилегают к ногам, не дают влаге попасть вовнутрь, высокая производительность теплозащиты.Гетры черно-синего цвета.Высокая степень непроницаемости и воздухопропускаемости мембраны.";"Описание:
Непроницаемые гетры DexShell Overcalf Wading - это недорогое и эффективное решение проблемы промокшей обуви ног для рыбаков, охотников, туристов и любителей активного отдыха. Отличительной чертой от DexShell Overcalf Wading является усиленная резинка (манжет), которая обеспечивает дополнительную защиту. Они станут отличной заменой сухой сменной обуви, если ваши ботинки или сапоги насквозь промокнут в походе. Также гетры подойдут футболистам, которые тренируются зимой на заснеженных площадках.
 
Из чего состоят водонепроницаемые носки DexShell?
Носки DexShell Overcalf Wading состоят из трех слоев:

    
—Главный функциональный слой — мембрана Porelle®, которая производится в Англии. Именно она делает носки DexShell водонепроницаемыми, и главное — отвечает за эффективное потоотведение. Работает эластичная и прочная мембрана Porelle ® благодаря разнице температур внутри и снаружи носка, именно поэтому не рекомендуется одевать гетры DexShell Overcalf Wading поверх обычных.
  —Внутренний слой состоит из шерсти мериноса. Шерсть этой породы новозеландских овец считается самой мягкой и помогает поддерживать постоянную температуру внутри.
  —Внешний нейлоновый слой делает гетры DexShell устойчивыми к повреждениям, плотными и комфортно прилегающими к ноге. Особенность модели DexShell Overcalf Wading усиленная резинка (манжет) - обеспечивает дополнительную защиту по сравнению с DexShell Overcalf.
     
Характеристики:
Внешний слой: 97% износостойкий нейлон, 2% эластан, 1% эластик (резинка)
Мембранная вставка: эластичная, водонепроницаемая и дышащая мембрана Porelle ®
Внутренний слой: 40% шерсть мериноса, 40% акрил, 20% нейлон
Сезон: зима
Непромокаемые гетры DexShell Overcalf Wading плотно прилегают, не сдавливая стопу. Плоский шов – гарантия того, что носок не будет натирать ногу при ходьбе. Это очень важно во время походов и активного отдыха: охоты, рыбалки, езды на мотоцикле и велосипеде, и занятий спортом.

Размерная таблица:

 
Наши рекомендации по уходу за носками:

 
Как стирать гетры DexShell Overcalf Wading:
Стирать носки необходимо вручную в прохладной воде (не более 40°C).
Как сушить гетры DexShell Overcalf Wading:
Сначала необходимо высушить носки вывернутыми наизнанку, а затем - с лицевой стороны в вертикальном положении на открытом воздухе. Чтобы носки не расслоились - запрещается сушить их утюгом, на батареях или возле костра.
 
C водонепроницаемыми гетрами DexShell Ваши ноги всегда будут сухими в любой обуви в самых неблагоприятных условиях!
 
";1800,00;1260,00;11;11;"Водонепроницаемые носки DexShell";http://avantmarket.com/wa-data/public/shop/products/93/20/2093/images/7137/7137.750x0.jpg
